,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,5994,Shiba Inu,SHIB,shiba-inu,794,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,11,,,,2024-04-19T14:31:00.000Z,2.2710010198722086e-05,635735634.9389197,12.4719,-0.63850668,-0.15550925,-15.84199325,-11.74267151,133.65608493,141.67632049,13382768529.555141,0.576,13388325116.71,,2024-04-19T14:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-04-19 20:18:04.285536
11,5805,Avalanche,AVAX,avalanche,715,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,377990615.8286095,436680255.8286095,False,,12,,,,2024-04-19T14:31:00.000Z,34.940437837682765,647139842.1781284,-7.209,-1.02109134,-0.81339474,-21.4361257,-34.93340179,-12.00423626,7.77343432,13207157615.586958,0.5647,25008573623.62,,2024-04-19T14:31:00.000Z,,,,,,2024-04-19 20:18:04.285536
12,6636,Polkadot,DOT,polkadot-new,746,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1435199497.9232976,1435199497.9232976,True,,13,,,,2024-04-19T14:32:00.000Z,6.732205751755913,275049886.4382507,27.0215,-0.71071524,-0.53448521,-17.78602546,-26.20288084,-12.37705045,-1.37977187,9662058314.836424,0.4158,9662058314.84,,2024-04-19T14:32:00.000Z,,,,,,2024-04-19 20:18:04.285536
13,1958,TRON,TRX,tron,972,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87606885505.59564,87606981023.8202,True,,14,71659659264.0,7842498242.280514,,2024-04-19T14:31:00.000Z,0.10944090891345316,458671627.83140284,11.7417,0.11095386,0.23077068,-9.17647424,-6.90015526,-19.44043698,-0.47015676,9587777176.809214,0.4099,9587787630.41,,2024-04-19T14:31:00.000Z,,,,,,2024-04-19 20:18:04.285536
14,1831,Bitcoin Cash,BCH,bitcoin-cash,882,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19693496.875,19693496.875,False,,15,,,,2024-04-19T14:31:00.000Z,473.6084507714168,552477617.1043777,-8.2994,-1.05887438,-2.96576135,-18.98808606,26.38406185,76.45120609,99.71423709,9327006545.240488,0.4014,9945777466.2,,2024-04-19T14:31:00.000Z,,,,,,2024-04-19 20:18:04.285536
0,1,Bitcoin,BTC,bitcoin,11013,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19687050.0,19687050.0,False,,1,,,,2024-04-19T14:32:00.000Z,64212.88656834483,49424362473.21021,12.607,-0.90676153,0.7891689,-8.03020161,0.11636817,23.29419385,54.70149835,1264162308515.333,54.4087,1348470617935.24,,2024-04-19T14:32:00.000Z,,,,,,2024-04-19 20:18:35.438529
1,1027,Ethereum,ETH,ethereum,8839,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120073358.07268304,120073358.07268304,True,,2,,,,2024-04-19T14:31:00.000Z,3077.5697882495556,19875243099.4992,4.2963,-0.41565169,-0.16817171,-11.26384968,-8.22461736,6.23805944,24.89158973,369534139178.1602,15.8002,369534139178.16,,2024-04-19T14:31:00.000Z,,,,,,2024-04-19 20:18:35.438529
2,825,Tether USDt,USDT,tether,83521,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,109469563907.17447,111941048614.43317,True,,3,,,,2024-04-19T14:31:00.000Z,1.0004239321968837,83136746941.0806,9.9652,-0.02349746,-0.006988,0.08563792,0.02846943,0.03484805,0.11219045,109515971579.89354,4.6826,111988504029.09,,2024-04-19T14:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-19 20:18:35.438529
3,1839,BNB,BNB,bnb,2151,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149533416.10078737,149533416.10078737,False,,4,,,,2024-04-19T14:31:00.000Z,556.7013755841838,1339807585.840666,-23.0709,-0.50977921,0.61381148,-9.15704321,5.09949976,58.45212806,77.7144455,83245458439.11046,3.5593,83245458439.11,,2024-04-19T14:31:00.000Z,,,,,,2024-04-19 20:18:35.438529
4,5426,Solana,SOL,solana,655,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,446817373.13522243,574286193.0398897,True,,5,,,,2024-04-19T14:31:00.000Z,142.7260299550135,5829712032.313069,17.9432,-0.65687091,2.35081493,-15.01607854,-18.2272606,26.69895701,56.29054751,63772469782.5182,2.7267,81965588390.56,,2024-04-19T14:31:00.000Z,,,,,,2024-04-19 20:18:35.438529
5,3408,USDC,USDC,usd-coin,18558,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33215410512.250786,33215410512.250786,False,,6,,,,2024-04-19T14:31:00.000Z,0.9999232806623864,11004796087.406996,12.2752,0.00701934,-0.01443332,0.00394052,-0.00853742,-0.00420917,-0.00849746,33212862247.957726,1.4201,33212862247.96,,2024-04-19T14:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-19 20:18:35.438529
6,52,XRP,XRP,xrp,1303,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55129144019.0,99987674482.0,False,,7,,,,2024-04-19T14:32:00.000Z,0.49581925285576317,2016166641.58026,13.0883,-0.74466086,-1.01283788,-16.67557992,-16.95860758,-11.07191053,-9.66724211,27334090998.078346,1.1764,49581925285.58,,2024-04-19T14:32:00.000Z,,,,,,2024-04-19 20:18:35.438529
7,11419,Toncoin,TON,toncoin,286,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3471118107.2223177,5105430125.993948,True,,8,3414166606.0,21628758869.437416,,2024-04-19T14:31:00.000Z,6.335003930806245,1100656979.7253811,144.4101,-0.03772941,2.58774917,-10.74124591,53.7768684,181.4756988,184.68427711,21989546853.546116,0.9402,32342919916.63,,2024-04-19T14:31:00.000Z,,,,,,2024-04-19 20:18:35.438529
8,74,Dogecoin,DOGE,dogecoin,957,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143950006383.70523,143950006383.70523,True,,9,,,,2024-04-19T14:32:00.000Z,0.1505000602180123,2184419027.211379,-2.4899,-0.91228362,-0.57194863,-21.68635501,11.31693038,75.16779002,90.38975662,21664484629.13089,0.9324,21664484629.13,,2024-04-19T14:32:00.000Z,,,,,,2024-04-19 20:18:35.438529
